"","danceability","energy","valence","tempo","loudness","key","acousticness","instrumentalness","liveness","speechiness","duration_ms","popularity"
"danceability",NA,0.292073944854715,0.00156155961145199,0.773460376261229,0.215261157323238,0.832497150303634,0.239156430260855,0.0792262657006719,0.301551391233166,0.967398134924281,0.281215521426126,0.295359280258524
"energy",0.292073944854715,NA,0.0844471073943527,0.174199652710703,7.29881563188428e-07,0.840356766847075,3.04585205057606e-07,0.0362355393495686,0.739540158263278,0.773341877891105,0.821376487492347,0.00902079904249575
"valence",0.00156155961145199,0.0844471073943527,NA,0.52170436852032,0.0930728709145943,0.792010125694465,0.121219377412165,0.0703328152060325,0.607669160881998,0.959690834870053,0.139672773257533,0.468072307172116
"tempo",0.773460376261229,0.174199652710703,0.52170436852032,NA,0.223561805526848,0.75667774083362,0.178690590385601,0.366772997052311,0.968391091819587,0.982791151054605,0.689598261278014,0.450102016754162
"loudness",0.215261157323238,7.29881563188428e-07,0.0930728709145943,0.223561805526848,NA,0.852099974075004,2.28029338353863e-05,0.00909296624126354,0.907524451140492,0.91574323086087,0.698285106530762,0.0049011961202714
"key",0.832497150303634,0.840356766847075,0.792010125694465,0.75667774083362,0.852099974075004,NA,0.967319287256693,0.888939950561297,0.738684021619465,0.798997894535872,0.786832231954066,0.876638904461043
"acousticness",0.239156430260855,3.04585205057606e-07,0.121219377412165,0.178690590385601,2.28029338353863e-05,0.967319287256693,NA,0.0521172077136867,0.88557372476264,0.882124797250755,0.888617371710738,0.00172536156032899
"instrumentalness",0.0792262657006719,0.0362355393495686,0.0703328152060325,0.366772997052311,0.00909296624126354,0.888939950561297,0.0521172077136867,NA,0.786399590729728,0.555253886858137,0.502542367491024,0.0566846732092496
"liveness",0.301551391233166,0.739540158263278,0.607669160881998,0.968391091819587,0.907524451140492,0.738684021619465,0.88557372476264,0.786399590729728,NA,0.351465781947725,0.881466175269246,0.651002056635009
"speechiness",0.967398134924281,0.773341877891105,0.959690834870053,0.982791151054605,0.91574323086087,0.798997894535872,0.882124797250755,0.555253886858137,0.351465781947725,NA,0.650706462157816,0.833485849727296
"duration_ms",0.281215521426126,0.821376487492347,0.139672773257533,0.689598261278014,0.698285106530762,0.786832231954066,0.888617371710738,0.502542367491024,0.881466175269246,0.650706462157816,NA,0.962151666727521
"popularity",0.295359280258524,0.00902079904249575,0.468072307172116,0.450102016754162,0.0049011961202714,0.876638904461043,0.00172536156032899,0.0566846732092496,0.651002056635009,0.833485849727296,0.962151666727521,NA
