"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","acousticness","Avant-Garde","Blues",11,101,-0.889655739734219,0.373650766595568,1,"ns"
"2","acousticness","Avant-Garde","Children's",11,4,-0.00235864659513664,0.998118074042276,1,"ns"
"3","acousticness","Avant-Garde","Classical",11,28,1.4283222817447,0.153199117334442,1,"ns"
"4","acousticness","Avant-Garde","Comedy/Spoken",11,46,-0.140128691101299,0.888558312017232,1,"ns"
"5","acousticness","Avant-Garde","Country",11,403,-2.02050341378287,0.0433311963998079,1,"ns"
"6","acousticness","Avant-Garde","Easy Listening",11,23,0.229113494666716,0.818780705185071,1,"ns"
"7","acousticness","Avant-Garde","Electronic",11,208,-5.11219391128184,3.18438698950353e-07,6.0503352800567e-05,"****"
"8","acousticness","Avant-Garde","Folk",11,95,0.507652582757554,0.611697007488567,1,"ns"
"9","acousticness","Avant-Garde","International",11,81,-0.733682198413022,0.463142450469686,1,"ns"
"10","acousticness","Avant-Garde","Jazz",11,406,-0.190405862942874,0.848991103752451,1,"ns"
"11","acousticness","Avant-Garde","Latin",11,229,-1.65728458674278,0.0974619520014714,1,"ns"
"12","acousticness","Avant-Garde","New Age",11,38,0.361819395391626,0.717486997331168,1,"ns"
"13","acousticness","Avant-Garde","Pop/Rock",11,2807,-4.91218846148438,9.00654189580053e-07,0.00017112429602021,"***"
"14","acousticness","Avant-Garde","R&B;",11,677,-3.28444724459146,0.00102182626329005,0.194146990025109,"ns"
"15","acousticness","Avant-Garde","Reggae",11,141,-4.21382913344492,2.51077259719847e-05,0.0047704679346771,"**"
"16","acousticness","Avant-Garde","Religious",11,89,-2.63721240670667,0.00835904721628127,1,"ns"
"17","acousticness","Avant-Garde","Stage & Screen",11,50,0.348921402430066,0.72714831695418,1,"ns"
"18","acousticness","Avant-Garde","Unknown",11,3,-1.93788740029954,0.0526369614916435,1,"ns"
"19","acousticness","Avant-Garde","Vocal",11,162,0.935154630131872,0.349708616138724,1,"ns"
"20","acousticness","Blues","Children's",101,4,0.551375509779655,0.581376285403644,1,"ns"
"21","acousticness","Blues","Classical",101,28,3.70230219183405,0.000213651923807543,0.0405938655234331,"*"
"22","acousticness","Blues","Comedy/Spoken",101,46,1.32361079539872,0.185632338012512,1,"ns"
"23","acousticness","Blues","Country",101,403,-3.01045548866565,0.00260856178523827,0.49562673919527,"ns"
"24","acousticness","Blues","Easy Listening",101,23,1.58614222003491,0.112707051326873,1,"ns"
"25","acousticness","Blues","Electronic",101,208,-10.7120133281996,8.93961840859996e-27,1.69852749763399e-24,"****"
"26","acousticness","Blues","Folk",101,95,3.10761359799288,0.0018860448518388,0.358348521849371,"ns"
"27","acousticness","Blues","International",101,81,0.313200897633,0.754128036500023,1,"ns"
"28","acousticness","Blues","Jazz",101,406,2.01710142371559,0.04368493010357,1,"ns"
"29","acousticness","Blues","Latin",101,229,-1.91781989089395,0.0551338527197708,1,"ns"
"30","acousticness","Blues","New Age",101,38,2.13523978816314,0.0327414284098752,1,"ns"
"31","acousticness","Blues","Pop/Rock",101,2807,-11.863466166557,1.83229643365096e-32,3.48136322393683e-30,"****"
"32","acousticness","Blues","R&B;",101,677,-6.71090533790463,1.9342056194673e-11,3.67499067698787e-09,"****"
"33","acousticness","Blues","Reggae",101,141,-7.95252598649141,1.82746482630582e-15,3.47218316998105e-13,"****"
"34","acousticness","Blues","Religious",101,89,-3.85448105437313,0.000115975363479162,0.0220353190610407,"*"
"35","acousticness","Blues","Stage & Screen",101,50,2.30554394472006,0.0211361285636627,1,"ns"
"36","acousticness","Blues","Unknown",101,3,-1.67232286260339,0.0944606737114505,1,"ns"
"37","acousticness","Blues","Vocal",101,162,4.52622253036336,6.00473500600348e-06,0.00114089965114066,"**"
"38","acousticness","Children's","Classical",4,28,0.953437731758225,0.340368331519099,1,"ns"
"39","acousticness","Children's","Comedy/Spoken",4,46,-0.0875803068457257,0.930210254885047,1,"ns"
"40","acousticness","Children's","Country",4,403,-1.22610171809935,0.220160399395536,1,"ns"
"41","acousticness","Children's","Easy Listening",4,23,0.15758144497711,0.874786625638745,1,"ns"
"42","acousticness","Children's","Electronic",4,208,-3.13052216584258,0.00174495830122552,0.33154207723285,"ns"
"43","acousticness","Children's","Folk",4,95,0.319461921842428,0.749376261746838,1,"ns"
"44","acousticness","Children's","International",4,81,-0.4575955017683,0.647243075812156,1,"ns"
"45","acousticness","Children's","Jazz",4,406,-0.113054232630725,0.909987559353556,1,"ns"
"46","acousticness","Children's","Latin",4,229,-1.01155070623838,0.311752925079532,1,"ns"
"47","acousticness","Children's","New Age",4,38,0.238286931517736,0.811658556605501,1,"ns"
"48","acousticness","Children's","Pop/Rock",4,2807,-2.96309466892526,0.00304562883914168,0.578669479436918,"ns"
"49","acousticness","Children's","R&B;",4,677,-1.98800325597381,0.0468113298734899,1,"ns"
"50","acousticness","Children's","Reggae",4,141,-2.59893093613816,0.00935145856465436,1,"ns"
"51","acousticness","Children's","Religious",4,89,-1.64636873503257,0.0996878659361705,1,"ns"
"52","acousticness","Children's","Stage & Screen",4,50,0.22627993874789,0.820983700330248,1,"ns"
"53","acousticness","Children's","Unknown",4,3,-1.65083281142229,0.0987727182706549,1,"ns"
"54","acousticness","Children's","Vocal",4,162,0.578407477195781,0.562989046971381,1,"ns"
"55","acousticness","Classical","Comedy/Spoken",28,46,-2.31665088327971,0.0205227571666005,1,"ns"
"56","acousticness","Classical","Country",28,403,-5.76000904061366,8.41094310119412e-09,1.59807918922688e-06,"****"
"57","acousticness","Classical","Easy Listening",28,23,-1.50763562763955,0.131647809065392,1,"ns"
"58","acousticness","Classical","Electronic",28,208,-10.3818503552288,2.99905273957017e-25,5.69820020518332e-23,"****"
"59","acousticness","Classical","Folk",28,95,-1.61170412099179,0.107026340505218,1,"ns"
"60","acousticness","Classical","International",28,81,-3.39381954718294,0.000689250936802952,0.130957677992561,"ns"
"61","acousticness","Classical","Jazz",28,406,-2.89901297768443,0.00374339399677903,0.711244859388017,"ns"
"62","acousticness","Classical","Latin",28,229,-5.09387576421149,3.50816700172497e-07,6.66551730327745e-05,"****"
"63","acousticness","Classical","New Age",28,38,-1.54331928286705,0.122753327259649,1,"ns"
"64","acousticness","Classical","Pop/Rock",28,2807,-10.4897364513587,9.62966159843598e-26,1.82963570370284e-23,"****"
"65","acousticness","Classical","R&B;",28,677,-7.81209368501777,5.6245726627412e-15,1.06866880592083e-12,"****"
"66","acousticness","Classical","Reggae",28,141,-8.83241485010758,1.02439700798266e-18,1.94635431516706e-16,"****"
"67","acousticness","Classical","Religious",28,89,-6.23552348072095,4.502698037006e-10,8.55512627031139e-08,"****"
"68","acousticness","Classical","Stage & Screen",28,50,-1.66097905416157,0.0967176535248207,1,"ns"
"69","acousticness","Classical","Unknown",28,3,-2.91440163612755,0.00356371093818124,0.677105078254436,"ns"
"70","acousticness","Classical","Vocal",28,162,-1.05969838610546,0.28928183726626,1,"ns"
"71","acousticness","Comedy/Spoken","Country",46,403,-3.66531822212669,0.00024703122351305,0.0469359324674796,"*"
"72","acousticness","Comedy/Spoken","Easy Listening",46,23,0.513053277737809,0.607914052916214,1,"ns"
"73","acousticness","Comedy/Spoken","Electronic",46,208,-9.41856731322905,4.57284728153624e-21,8.68840983491885e-19,"****"
"74","acousticness","Comedy/Spoken","Folk",46,95,1.16193430320881,0.245262151888471,1,"ns"
"75","acousticness","Comedy/Spoken","International",46,81,-1.02222879057277,0.306672627304637,1,"ns"
