"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","danceability","Avant-Garde","Blues",11,101,2.52975154163335,0.0114143323134087,1,"ns"
"2","danceability","Avant-Garde","Children's",11,4,2.30426560357363,0.0212077385450506,1,"ns"
"3","danceability","Avant-Garde","Classical",11,28,-2.33470798034266,0.0195586810909676,1,"ns"
"4","danceability","Avant-Garde","Comedy/Spoken",11,46,1.56779150483589,0.116929798120555,1,"ns"
"5","danceability","Avant-Garde","Country",11,403,2.77635060846584,0.00549728918593763,1,"ns"
"6","danceability","Avant-Garde","Easy Listening",11,23,-0.297290242001504,0.766244930820699,1,"ns"
"7","danceability","Avant-Garde","Electronic",11,208,3.97086148847364,7.16132072549038e-05,0.0136065093784317,"*"
"8","danceability","Avant-Garde","Folk",11,95,0.943483860181265,0.345433466923695,1,"ns"
"9","danceability","Avant-Garde","International",11,81,2.18977365420793,0.0285406563332935,1,"ns"
"10","danceability","Avant-Garde","Jazz",11,406,1.38566136859348,0.165850329608759,1,"ns"
"11","danceability","Avant-Garde","Latin",11,229,3.52781344304573,0.000419007352070443,0.0796113968933841,"ns"
"12","danceability","Avant-Garde","New Age",11,38,-1.3262961085962,0.184741635317091,1,"ns"
"13","danceability","Avant-Garde","Pop/Rock",11,2807,1.09660093628926,0.272815878028158,1,"ns"
"14","danceability","Avant-Garde","R&B;",11,677,4.15308749740374,3.28019243055052e-05,0.00623236561804599,"**"
"15","danceability","Avant-Garde","Reggae",11,141,6.16160163281123,7.2012828358976e-10,1.36824373882054e-07,"****"
"16","danceability","Avant-Garde","Religious",11,89,0.663691190539875,0.506887978839974,1,"ns"
"17","danceability","Avant-Garde","Stage & Screen",11,50,-2.18054549237834,0.029217050516491,1,"ns"
"18","danceability","Avant-Garde","Unknown",11,3,0.346378065352127,0.729058607350802,1,"ns"
"19","danceability","Avant-Garde","Vocal",11,162,-0.149086350596273,0.881485496166461,1,"ns"
"20","danceability","Blues","Children's",101,4,1.06352435217054,0.287544227664343,1,"ns"
"21","danceability","Blues","Classical",101,28,-7.65061551841732,2.00019559874166e-14,3.80037163760916e-12,"****"
"22","danceability","Blues","Comedy/Spoken",101,46,-1.55732494014284,0.119393356966011,1,"ns"
"23","danceability","Blues","Country",101,403,0.406532556155485,0.684351340984341,1,"ns"
"24","danceability","Blues","Easy Listening",101,23,-3.94821944957783,7.87346146704283e-05,0.0149595767873814,"*"
"25","danceability","Blues","Electronic",101,208,3.50677055068409,0.00045358007678054,0.0861802145883027,"ns"
"26","danceability","Blues","Folk",101,95,-3.51740406595419,0.000435789845049763,0.0828000705594551,"ns"
"27","danceability","Blues","International",101,81,-0.6675370647687,0.504429142598437,1,"ns"
"28","danceability","Blues","Jazz",101,406,-3.41563186150764,0.000636342118723002,0.12090500255737,"ns"
"29","danceability","Blues","Latin",101,229,2.39193447957205,0.0167598340029229,1,"ns"
"30","danceability","Blues","New Age",101,38,-6.60674478117669,3.92862450430286e-11,7.46438655817543e-09,"****"
"31","danceability","Blues","Pop/Rock",101,2807,-4.65971219882573,3.16651810416151e-06,0.000601638439790686,"***"
"32","danceability","Blues","R&B;",101,677,4.30422395457992,1.67572086462861e-05,0.00318386964279436,"**"
"33","danceability","Blues","Reggae",101,141,8.63536087650606,5.85419302906728e-18,1.11229667552278e-15,"****"
"34","danceability","Blues","Religious",101,89,-4.06570621222986,4.78872300365189e-05,0.00909857370693859,"**"
"35","danceability","Blues","Stage & Screen",101,50,-8.84459520394855,9.18607033374993e-19,1.74535336341249e-16,"****"
"36","danceability","Blues","Unknown",101,3,-0.985900806155789,0.324181791263092,1,"ns"
"37","danceability","Blues","Vocal",101,162,-6.70173675722105,2.05956820105739e-11,3.91317958200903e-09,"****"
"38","danceability","Children's","Classical",4,28,-4.071274787913,4.67565538427223e-05,0.00888374523011724,"**"
"39","danceability","Children's","Comedy/Spoken",4,46,-1.57150133436868,0.116066244707624,1,"ns"
"40","danceability","Children's","Country",4,403,-0.989008894041642,0.322658790147765,1,"ns"
"41","danceability","Children's","Easy Listening",4,23,-2.684672274453,0.00726009567315547,1,"ns"
"42","danceability","Children's","Electronic",4,208,-0.231566008696456,0.816875111048895,1,"ns"
"43","danceability","Children's","Folk",4,95,-2.04716961431868,0.0406414337522366,1,"ns"
"44","danceability","Children's","International",4,81,-1.25294614565276,0.210225306529126,1,"ns"
"45","danceability","Children's","Jazz",4,406,-1.83495637108187,0.0665121541552976,1,"ns"
"46","danceability","Children's","Latin",4,229,-0.508534502421046,0.611078549004077,1,"ns"
"47","danceability","Children's","New Age",4,38,-3.42333202659785,0.000618584693886146,0.117531091838368,"ns"
"48","danceability","Children's","Pop/Rock",4,2807,-2.02678925399029,0.0426839699083849,1,"ns"
"49","danceability","Children's","R&B;",4,677,-0.165643886959532,0.868437207551771,1,"ns"
"50","danceability","Children's","Reggae",4,141,1.15078663871121,0.249820022929953,1,"ns"
"51","danceability","Children's","Religious",4,89,-2.21729012867746,0.0266032720155465,1,"ns"
"52","danceability","Children's","Stage & Screen",4,50,-3.98677427361226,6.69776917432983e-05,0.0127257614312267,"*"
"53","danceability","Children's","Unknown",4,3,-1.46615153312966,0.142607009099176,1,"ns"
"54","danceability","Children's","Vocal",4,162,-2.74996392896947,0.00596018253098868,1,"ns"
"55","danceability","Classical","Comedy/Spoken",28,46,5.66131743216216,1.50215263520726e-08,2.8540900068938e-06,"****"
"56","danceability","Classical","Country",28,403,8.59220216248731,8.53181031001797e-18,1.62104395890341e-15,"****"
"57","danceability","Classical","Easy Listening",28,23,2.56493733277611,0.010319444110905,1,"ns"
"58","danceability","Classical","Electronic",28,208,10.2299532662534,1.45589619552701e-24,2.76620277150132e-22,"****"
"59","danceability","Classical","Folk",28,95,5.26086171791463,1.4338183857969e-07,2.72425493301411e-05,"****"
"60","danceability","Classical","International",28,81,6.99932466624253,2.57199226581979e-12,4.88678530505761e-10,"****"
"61","danceability","Classical","Jazz",28,406,6.41895575381432,1.37212278388694e-10,2.60703328938519e-08,"****"
"62","danceability","Classical","Latin",28,229,9.58883248757411,8.90873546609695e-22,1.69265973855842e-19,"****"
"63","danceability","Classical","New Age",28,38,1.51244788349735,0.130419961366469,1,"ns"
"64","danceability","Classical","Pop/Rock",28,2807,6.11866305909106,9.43636918327531e-10,1.79291014482231e-07,"****"
"65","danceability","Classical","R&B;",28,677,10.8535862662456,1.91750963250166e-27,3.64326830175315e-25,"****"
"66","danceability","Classical","Reggae",28,141,13.3384342577206,1.38334524660047e-40,2.6283559685409e-38,"****"
"67","danceability","Classical","Religious",28,89,4.81310262948217,1.48604924025596e-06,0.000282349355648633,"***"
"68","danceability","Classical","Stage & Screen",28,50,0.443144345323974,0.657661331468763,1,"ns"
"69","danceability","Classical","Unknown",28,3,1.73894409016628,0.0820445978209565,1,"ns"
"70","danceability","Classical","Vocal",28,162,3.83231297920997,0.000126944096538018,0.0241193783422235,"*"
