"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","duration_ms","Avant-Garde","Blues",11,101,-1.18778782469395,0.234917012372287,1,"ns"
"2","duration_ms","Avant-Garde","Children's",11,4,-2.32564958090213,0.0200372522624899,1,"ns"
"3","duration_ms","Avant-Garde","Classical",11,28,0.786752810092182,0.431426582898611,1,"ns"
"4","duration_ms","Avant-Garde","Comedy/Spoken",11,46,-0.643712355063153,0.519761976684168,1,"ns"
"5","duration_ms","Avant-Garde","Country",11,403,-2.55879535847782,0.0105035552002056,1,"ns"
"6","duration_ms","Avant-Garde","Easy Listening",11,23,-2.1202047992055,0.0339887778737834,1,"ns"
"7","duration_ms","Avant-Garde","Electronic",11,208,1.48862914186269,0.136585053327776,1,"ns"
"8","duration_ms","Avant-Garde","Folk",11,95,-1.7021550168736,0.088726312740958,1,"ns"
"9","duration_ms","Avant-Garde","International",11,81,0.43438677998701,0.664007596109094,1,"ns"
"10","duration_ms","Avant-Garde","Jazz",11,406,2.15156495133101,0.031431635069751,1,"ns"
"11","duration_ms","Avant-Garde","Latin",11,229,-0.579595664648492,0.562187317306657,1,"ns"
"12","duration_ms","Avant-Garde","New Age",11,38,2.36785683332144,0.0178914576996505,1,"ns"
"13","duration_ms","Avant-Garde","Pop/Rock",11,2807,-0.384333511165437,0.700731273400085,1,"ns"
"14","duration_ms","Avant-Garde","R&B;",11,677,0.303794432789633,0.761284508405899,1,"ns"
"15","duration_ms","Avant-Garde","Reggae",11,141,-0.789889598764446,0.429592246294982,1,"ns"
"16","duration_ms","Avant-Garde","Religious",11,89,1.62923048204175,0.1032642363661,1,"ns"
"17","duration_ms","Avant-Garde","Stage & Screen",11,50,-1.69999218904058,0.0891323947538944,1,"ns"
"18","duration_ms","Avant-Garde","Unknown",11,3,-0.585269833430273,0.55836629544531,1,"ns"
"19","duration_ms","Avant-Garde","Vocal",11,162,-2.33312086531581,0.019641802645273,1,"ns"
"20","duration_ms","Blues","Children's",101,4,-1.92378906881291,0.0543810281615727,1,"ns"
"21","duration_ms","Blues","Classical",101,28,3.07658741630794,0.00209384897284025,0.397831304839647,"ns"
"22","duration_ms","Blues","Comedy/Spoken",101,46,0.905570698803982,0.365163123603811,1,"ns"
"23","duration_ms","Blues","Country",101,403,-3.63810582875819,0.000274650573842305,0.0521836090300379,"ns"
"24","duration_ms","Blues","Easy Listening",101,23,-1.73179712287648,0.0833096906079557,1,"ns"
"25","duration_ms","Blues","Electronic",101,208,6.90706009269422,4.94800377069434e-12,9.40120716431924e-10,"****"
"26","duration_ms","Blues","Folk",101,95,-1.1543767327633,0.248345749979823,1,"ns"
"27","duration_ms","Blues","International",101,81,3.46430793357763,0.000531597602961043,0.101003544562598,"ns"
"28","duration_ms","Blues","Jazz",101,406,9.30430573427092,1.34870557309876e-20,2.56254058888763e-18,"****"
"29","duration_ms","Blues","Latin",101,229,1.65952841670734,0.097009359374601,1,"ns"
"30","duration_ms","Blues","New Age",101,38,6.2416990926043,4.32843037403336e-10,8.22401771066338e-08,"****"
"31","duration_ms","Blues","Pop/Rock",101,2807,2.57728171922967,0.00995807537231083,1,"ns"
"32","duration_ms","Blues","R&B;",101,677,4.40120503804146,1.07651336603721e-05,0.0020453753954707,"**"
"33","duration_ms","Blues","Reggae",101,141,0.996131351022012,0.319186328887621,1,"ns"
"34","duration_ms","Blues","Religious",101,89,6.17554080523332,6.5937373098308e-10,1.25281008886785e-07,"****"
"35","duration_ms","Blues","Stage & Screen",101,50,-1.09310630440129,0.274347128293023,1,"ns"
"36","duration_ms","Blues","Unknown",101,3,-0.00696279438684884,0.99444453874732,1,"ns"
"37","duration_ms","Blues","Vocal",101,162,-2.75923791066638,0.0057936339186196,1,"ns"
"38","duration_ms","Children's","Classical",4,28,3.06412991411669,0.00218304087721808,0.414777766671435,"ns"
"39","duration_ms","Children's","Comedy/Spoken",4,46,2.19042302689269,0.028493571537596,1,"ns"
"40","duration_ms","Children's","Country",4,403,1.14617110685835,0.251724360423356,1,"ns"
"41","duration_ms","Children's","Easy Listening",4,23,1.07181930127462,0.283801202052122,1,"ns"
"42","duration_ms","Children's","Electronic",4,208,3.60240803662261,0.00031528295531655,0.0599037615101444,"ns"
"43","duration_ms","Children's","Folk",4,95,1.59823725632203,0.109990185171882,1,"ns"
"44","duration_ms","Children's","International",4,81,2.92362075401186,0.00345985998387772,0.657373396936768,"ns"
"45","duration_ms","Children's","Jazz",4,406,4.01096480488591,6.04711252437156e-05,0.011489513796306,"*"
"46","duration_ms","Children's","Latin",4,229,2.33764071083706,0.0194058941916242,1,"ns"
"47","duration_ms","Children's","New Age",4,38,4.12549335184666,3.69940869460551e-05,0.00702887651975048,"**"
"48","duration_ms","Children's","Pop/Rock",4,2807,2.4817904629998,0.0130724120480421,1,"ns"
"49","duration_ms","Children's","R&B;",4,677,2.89192008725365,0.00382895324677647,0.72750111688753,"ns"
"50","duration_ms","Children's","Reggae",4,141,2.19036945326457,0.0284974535269326,1,"ns"
"51","duration_ms","Children's","Religious",4,89,3.6754946218077,0.000237389042081249,0.0451039179954373,"*"
"52","duration_ms","Children's","Stage & Screen",4,50,1.52370073761341,0.127583485130713,1,"ns"
"53","duration_ms","Children's","Unknown",4,3,1.27877137476764,0.20097757692791,1,"ns"
"54","duration_ms","Children's","Vocal",4,162,1.24657133330278,0.21255471835544,1,"ns"
"55","duration_ms","Classical","Comedy/Spoken",28,46,-2.06934058970327,0.0385141372695648,1,"ns"
"56","duration_ms","Classical","Country",28,403,-5.43358191814183,5.5233908921992e-08,1.04944426951785e-05,"****"
