"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","energy","Avant-Garde","Blues",11,101,1.50580251504683,0.132117877512647,1,"ns"
"2","energy","Avant-Garde","Children's",11,4,0.136440493365825,0.89147306389585,1,"ns"
"3","energy","Avant-Garde","Classical",11,28,-1.16881792323257,0.2424769975446,1,"ns"
"4","energy","Avant-Garde","Comedy/Spoken",11,46,3.55731604556672,0.000374663293092321,0.0711860256875409,"ns"
"5","energy","Avant-Garde","Country",11,403,2.53405466549027,0.0112751140871443,1,"ns"
"6","energy","Avant-Garde","Easy Listening",11,23,0.12929343213227,0.897125468213633,1,"ns"
"7","energy","Avant-Garde","Electronic",11,208,4.92261684570417,8.53945456384269e-07,0.000162249636713011,"***"
"8","energy","Avant-Garde","Folk",11,95,-0.321012057731022,0.748201253354676,1,"ns"
"9","energy","Avant-Garde","International",11,81,1.6854789657799,0.0918961996987275,1,"ns"
"10","energy","Avant-Garde","Jazz",11,406,0.510603218568353,0.609628921688411,1,"ns"
"11","energy","Avant-Garde","Latin",11,229,3.39943480587911,0.000675252756523239,0.128298023739415,"ns"
"12","energy","Avant-Garde","New Age",11,38,-0.737103319045846,0.461059520927713,1,"ns"
"13","energy","Avant-Garde","Pop/Rock",11,2807,5.03433078568059,4.79521034681736e-07,9.11089965895299e-05,"****"
"14","energy","Avant-Garde","R&B;",11,677,3.00974102078051,0.00261470532519555,0.496794011787155,"ns"
"15","energy","Avant-Garde","Reggae",11,141,2.92264578593737,0.00347071100963654,0.659435091830943,"ns"
"16","energy","Avant-Garde","Religious",11,89,2.83995551348461,0.00451198256046188,0.857276686487758,"ns"
"17","energy","Avant-Garde","Stage & Screen",11,50,-0.695955836127372,0.486456487971934,1,"ns"
"18","energy","Avant-Garde","Unknown",11,3,2.20292813990203,0.0275998138966459,1,"ns"
"19","energy","Avant-Garde","Vocal",11,162,-0.604855556124819,0.545274975837538,1,"ns"
"20","energy","Blues","Children's",101,4,-0.781548653782841,0.434479872673826,1,"ns"
"21","energy","Blues","Classical",101,28,-4.18591074750413,2.8402494538021e-05,0.00539647396222398,"**"
