"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","instrumentalness","Avant-Garde","Blues",11,101,-2.96286080234738,0.00304794367991995,0.579109299184791,"ns"
"2","instrumentalness","Avant-Garde","Children's",11,4,-3.08190946562537,0.00205677382428491,0.390787026614133,"ns"
"3","instrumentalness","Avant-Garde","Classical",11,28,-0.277393844065705,0.781477707963027,1,"ns"
"4","instrumentalness","Avant-Garde","Comedy/Spoken",11,46,-6.27131313121617,3.58015794926508e-10,6.80230010360366e-08,"****"
"5","instrumentalness","Avant-Garde","Country",11,403,-5.82666094008013,5.65473335481753e-09,1.07439933741533e-06,"****"
"6","instrumentalness","Avant-Garde","Easy Listening",11,23,0.489174616753452,0.624718078498722,1,"ns"
"7","instrumentalness","Avant-Garde","Electronic",11,208,-1.26551676657077,0.205686141905179,1,"ns"
"8","instrumentalness","Avant-Garde","Folk",11,95,-3.9743910226365,7.05595599034988e-05,0.0134063163816648,"*"
"9","instrumentalness","Avant-Garde","International",11,81,-3.43892515846494,0.000584028669432647,0.110965447192203,"ns"
"10","instrumentalness","Avant-Garde","Jazz",11,406,-0.301595215218189,0.762960655953622,1,"ns"
"11","instrumentalness","Avant-Garde","Latin",11,229,-4.57094335832196,4.85533517056764e-06,0.000922513682407852,"***"
"12","instrumentalness","Avant-Garde","New Age",11,38,0.875158890227361,0.3814874579538,1,"ns"
"13","instrumentalness","Avant-Garde","Pop/Rock",11,2807,-3.67248213471453,0.000240205948772311,0.045639130266739,"*"
"14","instrumentalness","Avant-Garde","R&B;",11,677,-5.11973759855811,3.05961072187155e-07,5.81326037155594e-05,"****"
"15","instrumentalness","Avant-Garde","Reggae",11,141,-4.76249923185124,1.91209925781376e-06,0.000363298858984615,"***"
"16","instrumentalness","Avant-Garde","Religious",11,89,-6.57861255944469,4.74858328156543e-11,9.02230823497432e-09,"****"
"17","instrumentalness","Avant-Garde","Stage & Screen",11,50,-0.306600631627797,0.759147372814107,1,"ns"
"18","instrumentalness","Avant-Garde","Unknown",11,3,-1.94810540066659,0.0514023527381712,1,"ns"
"19","instrumentalness","Avant-Garde","Vocal",11,162,-4.32158982121686,1.54908966172774e-05,0.0029432703572827,"**"
"20","instrumentalness","Blues","Children's",101,4,-1.68441171302106,0.092102128698253,1,"ns"
"21","instrumentalness","Blues","Classical",101,28,3.9424496016862,8.06536019520014e-05,0.0153241843708803,"*"
"22","instrumentalness","Blues","Comedy/Spoken",101,46,-6.54454131562693,5.96782648735993e-11,1.13388703259839e-08,"****"
"23","instrumentalness","Blues","Country",101,403,-7.54782658094917,4.42581691507363e-14,8.40905213863989e-12,"****"
"24","instrumentalness","Blues","Easy Listening",101,23,4.8478814815445,1.2478691134181e-06,0.000237095131549439,"***"
"25","instrumentalness","Blues","Electronic",101,208,4.52837962574921,5.94377255925511e-06,0.00112931678625847,"**"
"26","instrumentalness","Blues","Folk",101,95,-2.27445618606383,0.0229385725538454,1,"ns"
"27","instrumentalness","Blues","International",101,81,-1.10164118615716,0.270617695331994,1,"ns"
"28","instrumentalness","Blues","Jazz",101,406,7.6314393699636,2.32147015253367e-14,4.41079328981397e-12,"****"
"29","instrumentalness","Blues","Latin",101,229,-3.9362559716212,8.27626955871485e-05,0.0157249121615582,"*"
"30","instrumentalness","Blues","New Age",101,38,6.51769871742996,7.13942068769748e-11,1.35648993066252e-08,"****"
"31","instrumentalness","Blues","Pop/Rock",101,2807,-1.66607032710384,0.0956994078252924,1,"ns"
"32","instrumentalness","Blues","R&B;",101,677,-5.76951076485252,7.9501999899952e-09,1.51053799809909e-06,"****"
"33","instrumentalness","Blues","Reggae",101,141,-4.22054670835155,2.43710552604293e-05,0.00463050049948156,"**"
"34","instrumentalness","Blues","Religious",101,89,-7.99121968879011,1.33610218858485e-15,2.53859415831121e-13,"****"
"35","instrumentalness","Blues","Stage & Screen",101,50,4.84977814478488,1.23599639196404e-06,0.000234839314473167,"***"
"36","instrumentalness","Blues","Unknown",101,3,-0.560116071343414,0.575400268985537,1,"ns"
"37","instrumentalness","Blues","Vocal",101,162,-3.20070420637719,0.00137092187635039,0.260475156506575,"ns"
"38","instrumentalness","Children's","Classical",4,28,3.18179156036833,0.00146367116844378,0.278097522004318,"ns"
"39","instrumentalness","Children's","Comedy/Spoken",4,46,-0.585859058321581,0.557970232279819,1,"ns"
"40","instrumentalness","Children's","Country",4,403,0.0374709988733465,0.970109463447675,1,"ns"
"41","instrumentalness","Children's","Easy Listening",4,23,3.65265027428108,0.000259547612513246,0.0493140463775168,"*"
"42","instrumentalness","Children's","Electronic",4,208,2.789149442024,0.00528466735607139,1,"ns"
"43","instrumentalness","Children's","Folk",4,95,1.04550942546598,0.295787586635764,1,"ns"
"44","instrumentalness","Children's","International",4,81,1.35574418905395,0.175180574358833,1,"ns"
"45","instrumentalness","Children's","Jazz",4,406,3.39788155878919,0.000679098142196999,0.12902864701743,"ns"
"46","instrumentalness","Children's","Latin",4,229,0.770388313891983,0.44106958339693,1,"ns"
"47","instrumentalness","Children's","New Age",4,38,3.99325694046018,6.51718808194777e-05,0.0123826573557008,"*"
"48","instrumentalness","Children's","Pop/Rock",4,2807,1.37898766297644,0.167898557701904,1,"ns"
"49","instrumentalness","Children's","R&B;",4,677,0.485165249028251,0.627559130535728,1,"ns"
"50","instrumentalness","Children's","Reggae",4,141,0.608508153667479,0.542850499810918,1,"ns"
"51","instrumentalness","Children's","Religious",4,89,-0.592993249929648,0.553185669666437,1,"ns"
"52","instrumentalness","Children's","Stage & Screen",4,50,3.26653271820031,0.00108873226136925,0.206859129660158,"ns"
"53","instrumentalness","Children's","Unknown",4,3,0.694679887298095,0.487255935187717,1,"ns"
"54","instrumentalness","Children's","Vocal",4,162,0.894874816814158,0.370854010147701,1,"ns"
"55","instrumentalness","Classical","Comedy/Spoken",28,46,-8.36957010972663,5.78288136047895e-17,1.098747458491e-14,"****"
"56","instrumentalness","Classical","Country",28,403,-8.60589183122269,7.57256517758105e-18,1.4387873837404e-15,"****"
"57","instrumentalness","Classical","Easy Listening",28,23,0.987998210442104,0.323153524631469,1,"ns"
"58","instrumentalness","Classical","Electronic",28,208,-1.45463412559907,0.145770578316263,1,"ns"
"59","instrumentalness","Classical","Folk",28,95,-5.42742147902274,5.71740059141961e-08,1.08630611236973e-05,"****"
"60","instrumentalness","Classical","International",28,81,-4.59038579392339,4.42427486071651e-06,0.000840612223536137,"***"
"61","instrumentalness","Classical","Jazz",28,406,0.03352422138416,0.973256550813726,1,"ns"
"62","instrumentalness","Classical","Latin",28,229,-6.55433604213257,5.58899830451624e-11,1.06190967785808e-08,"****"
"63","instrumentalness","Classical","New Age",28,38,1.59940921993245,0.109729704989354,1,"ns"
"64","instrumentalness","Classical","Pop/Rock",28,2807,-5.32193108740925,1.02671468617164e-07,1.95075790372612e-05,"****"
"65","instrumentalness","Classical","R&B;",28,677,-7.55735372540514,4.11352202258735e-14,7.81569184291597e-12,"****"
"66","instrumentalness","Classical","Reggae",28,141,-6.72894092246605,1.70902420558967e-11,3.24714599062037e-09,"****"
"67","instrumentalness","Classical","Religious",28,89,-9.24785388305673,2.29045173909457e-20,4.35185830427969e-18,"****"
