"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","key","Avant-Garde","Blues",11,101,0.136507113475763,0.891420401450969,1,"ns"
"2","key","Avant-Garde","Children's",11,4,-0.418216697425686,0.67578868872683,1,"ns"
"3","key","Avant-Garde","Classical",11,28,-0.0598714195070554,0.952258042976474,1,"ns"
"4","key","Avant-Garde","Comedy/Spoken",11,46,-0.0721221738524462,0.942504679992629,1,"ns"
"5","key","Avant-Garde","Country",11,403,0.594355689308883,0.552274238620211,1,"ns"
"6","key","Avant-Garde","Easy Listening",11,23,-0.313715862424515,0.753736852087639,1,"ns"
"7","key","Avant-Garde","Electronic",11,208,0.861947178021918,0.388716585799199,1,"ns"
"8","key","Avant-Garde","Folk",11,95,0.281753771451687,0.778132320357828,1,"ns"
"9","key","Avant-Garde","International",11,81,0.118965828276699,0.905302428558749,1,"ns"
"10","key","Avant-Garde","Jazz",11,406,-0.28556409790208,0.775212004550974,1,"ns"
"11","key","Avant-Garde","Latin",11,229,0.155177697153842,0.876681230385243,1,"ns"
"12","key","Avant-Garde","New Age",11,38,-1.31846204776325,0.187349021740101,1,"ns"
"13","key","Avant-Garde","Pop/Rock",11,2807,0.336060133973843,0.736825520311961,1,"ns"
"14","key","Avant-Garde","R&B;",11,677,0.400960434824883,0.688449253817367,1,"ns"
"15","key","Avant-Garde","Reggae",11,141,0.819353479382116,0.412584768624896,1,"ns"
"16","key","Avant-Garde","Religious",11,89,0.041832317347451,0.966632372036148,1,"ns"
"17","key","Avant-Garde","Stage & Screen",11,50,-0.791325039330179,0.428754340444238,1,"ns"
"18","key","Avant-Garde","Unknown",11,3,0.040214830890678,0.967921853854058,1,"ns"
"19","key","Avant-Garde","Vocal",11,162,0.0311526214028719,0.975147824199817,1,"ns"
"20","key","Blues","Children's",101,4,-0.563995757077855,0.572757019708696,1,"ns"
"21","key","Blues","Classical",101,28,-0.302684676216432,0.762130176918619,1,"ns"
