"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","speechiness","Avant-Garde","Blues",11,101,0.173394635188643,0.862341241736362,1,"ns"
"2","speechiness","Avant-Garde","Children's",11,4,1.476970203211,0.139683624688994,1,"ns"
"3","speechiness","Avant-Garde","Classical",11,28,-0.0143521926080424,0.988549000228914,1,"ns"
"4","speechiness","Avant-Garde","Comedy/Spoken",11,46,4.100606406695,4.12068905660533e-05,0.00782930920755013,"**"
"5","speechiness","Avant-Garde","Country",11,403,-2.39481537088953,0.0166287362138006,1,"ns"
"6","speechiness","Avant-Garde","Easy Listening",11,23,-1.46439784262922,0.143085277241619,1,"ns"
"7","speechiness","Avant-Garde","Electronic",11,208,0.780419338157035,0.435144088883198,1,"ns"
"8","speechiness","Avant-Garde","Folk",11,95,-0.786118416727937,0.431798115777873,1,"ns"
"9","speechiness","Avant-Garde","International",11,81,0.415543120481772,0.67774435556163,1,"ns"
"10","speechiness","Avant-Garde","Jazz",11,406,-0.376724467400415,0.706378377908211,1,"ns"
"11","speechiness","Avant-Garde","Latin",11,229,-0.00476656854604472,0.996196842950507,1,"ns"
"12","speechiness","Avant-Garde","New Age",11,38,-1.67348237518241,0.0942323733430369,1,"ns"
"13","speechiness","Avant-Garde","Pop/Rock",11,2807,-0.202637271785461,0.839418555644913,1,"ns"
"14","speechiness","Avant-Garde","R&B;",11,677,0.946789861773362,0.343745868888945,1,"ns"
"15","speechiness","Avant-Garde","Reggae",11,141,3.77562027581566,0.00015960998453565,0.0303258970617734,"*"
"16","speechiness","Avant-Garde","Religious",11,89,-0.726838701161497,0.467324771945622,1,"ns"
"17","speechiness","Avant-Garde","Stage & Screen",11,50,-0.336858409008704,0.736223639525594,1,"ns"
"18","speechiness","Avant-Garde","Unknown",11,3,-1.89642060612601,0.0579044492220413,1,"ns"
"19","speechiness","Avant-Garde","Vocal",11,162,0.196167977650018,0.844478691207583,1,"ns"
"20","speechiness","Blues","Children's",101,4,1.58356860916867,0.113291922098767,1,"ns"
"21","speechiness","Blues","Classical",101,28,-0.281682295902723,0.778187130844627,1,"ns"
"22","speechiness","Blues","Comedy/Spoken",101,46,7.42782561329907,1.10397369170856e-13,2.09755001424626e-11,"****"
"23","speechiness","Blues","Country",101,403,-7.07165042795704,1.53101711998294e-12,2.90893252796759e-10,"****"
"24","speechiness","Blues","Easy Listening",101,23,-2.56183767421636,0.0104119970109488,1,"ns"
"25","speechiness","Blues","Electronic",101,208,1.53689221623739,0.124319705940152,1,"ns"
"26","speechiness","Blues","Folk",101,95,-2.13696680121264,0.0326006919473177,1,"ns"
"27","speechiness","Blues","International",101,81,0.526128884314265,0.598798661018515,1,"ns"
"28","speechiness","Blues","Jazz",101,406,-1.53038309726387,0.125921930343487,1,"ns"
"29","speechiness","Blues","Latin",101,229,-0.473219928624154,0.636056281292782,1,"ns"
"30","speechiness","Blues","New Age",101,38,-3.30004946213599,0.00096667789479573,0.183668800011189,"ns"
