"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","valence","Avant-Garde","Blues",11,101,3.99644888239812,6.42997580948795e-05,0.0122169540380271,"*"
"2","valence","Avant-Garde","Children's",11,4,2.01121565481835,0.0443026829261007,1,"ns"
"3","valence","Avant-Garde","Classical",11,28,-2.04808713085634,0.0405514626630291,1,"ns"
"4","valence","Avant-Garde","Comedy/Spoken",11,46,1.15459042890943,0.248258187936654,1,"ns"
"5","valence","Avant-Garde","Country",11,403,3.28389379448951,0.00102383497257615,0.194528644789469,"ns"
"6","valence","Avant-Garde","Easy Listening",11,23,-0.0175766800042197,0.985976560464332,1,"ns"
"7","valence","Avant-Garde","Electronic",11,208,1.20369978337774,0.228705636033524,1,"ns"
"8","valence","Avant-Garde","Folk",11,95,1.35991126929611,0.173858004382433,1,"ns"
"9","valence","Avant-Garde","International",11,81,2.93688208866803,0.00331530131304642,0.629907249478819,"ns"
"10","valence","Avant-Garde","Jazz",11,406,1.61065558465339,0.107254811432341,1,"ns"
"11","valence","Avant-Garde","Latin",11,229,4.43437295549405,9.23406530047671e-06,0.00175447240709058,"**"
"12","valence","Avant-Garde","New Age",11,38,-1.75048023087361,0.0800354824771662,1,"ns"
"13","valence","Avant-Garde","Pop/Rock",11,2807,1.91940150521724,0.0549335405998919,1,"ns"
"14","valence","Avant-Garde","R&B;",11,677,3.39143371304212,0.000695279794168265,0.13210316089197,"ns"
"15","valence","Avant-Garde","Reggae",11,141,5.37712188298217,7.56859403074632e-08,1.4380328658418e-05,"****"
"16","valence","Avant-Garde","Religious",11,89,0.390521584020805,0.696150898066604,1,"ns"
"17","valence","Avant-Garde","Stage & Screen",11,50,-1.73585900747195,0.0825887675054339,1,"ns"
"18","valence","Avant-Garde","Unknown",11,3,2.93552589441885,0.00332982818251319,0.632667354677506,"ns"
"19","valence","Avant-Garde","Vocal",11,162,0.35375280191081,0.723524147708664,1,"ns"
"20","valence","Blues","Children's",101,4,-0.18556057697754,0.852789371567279,1,"ns"
"21","valence","Blues","Classical",101,28,-9.35348154662421,8.48091061489718e-21,1.61137301683046e-18,"****"
"22","valence","Blues","Comedy/Spoken",101,46,-4.95500645839506,7.23278867765159e-07,0.00013742298487538,"***"
"23","valence","Blues","Country",101,403,-2.384549006415,0.0171000702732224,1,"ns"
"24","valence","Blues","Easy Listening",101,23,-5.52000865687144,3.38982962312219e-08,6.44067628393216e-06,"****"
"25","valence","Blues","Electronic",101,208,-7.3919788240198,1.4465956914738e-13,2.74853181380022e-11,"****"
"26","valence","Blues","Folk",101,95,-5.84771460775725,4.98372643778753e-09,9.46908023179631e-07,"****"
