"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","liveness","Avant-Garde","Blues",11,101,2.0714114251161,0.0383203641060957,1,"ns"
"2","liveness","Avant-Garde","Children's",11,4,1.38690843356029,0.165469685882328,1,"ns"
"3","liveness","Avant-Garde","Classical",11,28,1.16971782738722,0.242114541489205,1,"ns"
"4","liveness","Avant-Garde","Comedy/Spoken",11,46,5.27058664001187,1.35988415437267e-07,2.58377989330808e-05,"****"
"5","liveness","Avant-Garde","Country",11,403,1.96468389182634,0.0494508354573805,1,"ns"
"6","liveness","Avant-Garde","Easy Listening",11,23,1.82126483615071,0.0685666089455697,1,"ns"
"7","liveness","Avant-Garde","Electronic",11,208,1.65213299943202,0.0985074411464099,1,"ns"
"8","liveness","Avant-Garde","Folk",11,95,1.26378441258848,0.206307417398094,1,"ns"
"9","liveness","Avant-Garde","International",11,81,1.51295941638046,0.130289967877279,1,"ns"
"10","liveness","Avant-Garde","Jazz",11,406,1.15679884778506,0.247354552713651,1,"ns"
"11","liveness","Avant-Garde","Latin",11,229,1.92214584629462,0.0545874086657173,1,"ns"
"12","liveness","Avant-Garde","New Age",11,38,-0.519342904625483,0.603521638950717,1,"ns"
"13","liveness","Avant-Garde","Pop/Rock",11,2807,2.390908732915,0.0168067301854963,1,"ns"
"14","liveness","Avant-Garde","R&B;",11,677,1.66033912052715,0.0968462499289727,1,"ns"
"15","liveness","Avant-Garde","Reggae",11,141,0.62579959644422,0.53144639657628,1,"ns"
"16","liveness","Avant-Garde","Religious",11,89,3.13302795790899,0.00173012961459785,0.328724626773592,"ns"
"17","liveness","Avant-Garde","Stage & Screen",11,50,0.925880875320764,0.354507891163102,1,"ns"
"18","liveness","Avant-Garde","Unknown",11,3,-0.714431736381032,0.474960253402072,1,"ns"
"19","liveness","Avant-Garde","Vocal",11,162,3.30197700659578,0.000960059398728659,0.182411285758445,"ns"
"20","liveness","Blues","Children's",101,4,0.298338545739684,0.765444787751301,1,"ns"
"21","liveness","Blues","Classical",101,28,-1.13050923433452,0.258261709581432,1,"ns"
"22","liveness","Blues","Comedy/Spoken",101,46,6.24751333648539,4.17038685119316e-10,7.92373501726701e-08,"****"
"23","liveness","Blues","Country",101,403,-0.514764920765667,0.606717301155436,1,"ns"
"24","liveness","Blues","Easy Listening",101,23,0.0431513877582397,0.965580855911988,1,"ns"
"25","liveness","Blues","Electronic",101,208,-1.20833905999717,0.226916869874967,1,"ns"
"26","liveness","Blues","Folk",101,95,-1.78544989271386,0.0741883720257809,1,"ns"
"27","liveness","Blues","International",101,81,-1.14997308671832,0.250154956287455,1,"ns"
"28","liveness","Blues","Jazz",101,406,-2.73580427453706,0.00622280263260156,1,"ns"
"29","liveness","Blues","Latin",101,229,-0.538986484106073,0.589896180665625,1,"ns"
"30","liveness","Blues","New Age",101,38,-4.3902671725357,1.13211475378836e-05,0.00215101803219789,"**"
"31","liveness","Blues","Pop/Rock",101,2807,0.637962518305888,0.523498079311302,1,"ns"
"32","liveness","Blues","R&B;",101,677,-1.43457933054868,0.151407008062533,1,"ns"
"33","liveness","Blues","Reggae",101,141,-3.54238588269805,0.000396524949698456,0.0753397404427066,"ns"
"34","liveness","Blues","Religious",101,89,2.36360875719804,0.0180979137909803,1,"ns"
"35","liveness","Blues","Stage & Screen",101,50,-2.02024825384458,0.0433576433264969,1,"ns"
"36","liveness","Blues","Unknown",101,3,-1.91687252861266,0.0552541278752448,1,"ns"
"37","liveness","Blues","Vocal",101,162,2.92740067976065,0.00341808213302743,0.649435605275212,"ns"
"38","liveness","Children's","Classical",4,28,-0.736256368147879,0.461574693923793,1,"ns"
"39","liveness","Children's","Comedy/Spoken",4,46,1.84005047921284,0.0657608266262624,1,"ns"
"40","liveness","Children's","Country",4,403,-0.416688161139928,0.676906514923094,1,"ns"
"41","liveness","Children's","Easy Listening",4,23,-0.262350434585466,0.793051282080588,1,"ns"
"42","liveness","Children's","Electronic",4,208,-0.591620477277351,0.554104758419576,1,"ns"
"43","liveness","Children's","Folk",4,95,-0.797931256708897,0.424910383604784,1,"ns"
"44","liveness","Children's","International",4,81,-0.631820624280741,0.52750409527919,1,"ns"
"45","liveness","Children's","Jazz",4,406,-0.908134803852735,0.363807004322424,1,"ns"
"46","liveness","Children's","Latin",4,229,-0.429218090710757,0.667764518847413,1,"ns"
"47","liveness","Children's","New Age",4,38,-1.87877722243195,0.0602749184237381,1,"ns"
"48","liveness","Children's","Pop/Rock",4,2807,-0.174841154490527,0.861204449769462,1,"ns"
"49","liveness","Children's","R&B;",4,677,-0.608441916752184,0.542894417872164,1,"ns"
"50","liveness","Children's","Reggae",4,141,-1.21069218397461,0.226013399056959,1,"ns"
"51","liveness","Children's","Religious",4,89,0.374751207320875,0.707845504934391,1,"ns"
"52","liveness","Children's","Stage & Screen",4,50,-0.965009802946067,0.334539901780654,1,"ns"
"53","liveness","Children's","Unknown",4,3,-1.66952041385222,0.0950142881810058,1,"ns"
"54","liveness","Children's","Vocal",4,162,0.432787629315045,0.665169061280727,1,"ns"
"55","liveness","Classical","Comedy/Spoken",28,46,5.64359482224297,1.66535737546879e-08,3.1641790133907e-06,"****"
"56","liveness","Classical","Country",28,403,0.942349496021445,0.346013735043247,1,"ns"
"57","liveness","Classical","Easy Listening",28,23,0.89342701820468,0.371628539207306,1,"ns"
"58","liveness","Classical","Electronic",28,208,0.471456642961496,0.63731467458334,1,"ns"
"59","liveness","Classical","Folk",28,95,-0.063862351297343,0.949079830369371,1,"ns"
"60","liveness","Classical","International",28,81,0.318981610670438,0.749740457512034,1,"ns"
"61","liveness","Classical","Jazz",28,406,-0.321168176532673,0.748082947118888,1,"ns"
"62","liveness","Classical","Latin",28,229,0.88445554264913,0.376450351276022,1,"ns"
"63","liveness","Classical","New Age",28,38,-2.38517463371603,0.0170710155633088,1,"ns"
"64","liveness","Classical","Pop/Rock",28,2807,1.61151425795341,0.107067682116155,1,"ns"
"65","liveness","Classical","R&B;",28,677,0.458526816925159,0.646574000692511,1,"ns"
"66","liveness","Classical","Reggae",28,141,-1.06490975143608,0.286916771791276,1,"ns"
"67","liveness","Classical","Religious",28,89,2.70022836750047,0.00692918946751686,1,"ns"
"68","liveness","Classical","Stage & Screen",28,50,-0.457078448011269,0.647614660549072,1,"ns"
"69","liveness","Classical","Unknown",28,3,-1.45116379335864,0.146734256231989,1,"ns"
"70","liveness","Classical","Vocal",28,162,2.99318053158555,0.00276086383756262,0.524564129136898,"ns"
"71","liveness","Comedy/Spoken","Country",46,403,-7.50865757960528,5.97367504001089e-14,1.13499825760207e-11,"****"
"72","liveness","Comedy/Spoken","Easy Listening",46,23,-4.31251662655714,1.61406740265863e-05,0.0030667280650514,"**"
"73","liveness","Comedy/Spoken","Electronic",46,208,-7.71999343751214,1.16335695153388e-14,2.21037820791438e-12,"****"
"74","liveness","Comedy/Spoken","Folk",46,95,-7.60731775983741,2.79842700151637e-14,5.31701130288110e-12,"****"
"75","liveness","Comedy/Spoken","International",46,81,-6.94834906984441,3.69585612671237e-12,7.02212664075351e-10,"****"
"76","liveness","Comedy/Spoken","Jazz",46,406,-9.09871217338779,9.14092412999708e-20,1.73677558469945e-17,"****"
"77","liveness","Comedy/Spoken","Latin",46,229,-7.27637306668905,3.42914460641493e-13,6.51537475218837e-11,"****"
"78","liveness","Comedy/Spoken","New Age",46,38,-8.88074231615493,6.64156462003078e-19,1.26189727780585e-16,"****"
"79","liveness","Comedy/Spoken","Pop/Rock",46,2807,-7.04143669004641,1.90267664481959e-12,3.61508562515721e-10,"****"
"80","liveness","Comedy/Spoken","R&B;",46,677,-8.29770542991543,1.06141458732566e-16,2.01668771591875e-14,"****"
"81","liveness","Comedy/Spoken","Reggae",46,141,-9.26433761972301,1.9629187067374e-20,3.72954554280105e-18,"****"
"82","liveness","Comedy/Spoken","Religious",46,89,-4.2273846150967,2.364233442696e-05,0.0044920435411224,"**"
"83","liveness","Comedy/Spoken","Stage & Screen",46,50,-7.14936473586069,8.71804055003154e-13,1.65642770450599e-10,"****"
